ObservedagentID;CounterpartyID;ContractID;InstrumentID;JointLiabilityAmount;CounterpartyRole;CounterpartyRoleEndDate
13369;6305574;PRE000000455;PRE000000455;0.00;7;
13369;6305574;PRE000000456;PRE000000456;0.00;1;2024-06-24
13369;6305574;PRE000000456;PRE000000456;0.00;7;2024-06-24
13369;6305574;PRE000000457;PRE000000457;0.00;1;
13369;6305574;PRE000000457;PRE000000457;0.00;7;
13369;6305574;PRE000000458;PRE000000458;0.00;1;
13369;6305574;PRE000000458;PRE000000458;0.00;7;
13369;6305574;PRE000000459;PRE000000459;0.00;1;
13369;6305574;PRE000000459;PRE000000459;0.00;7;
13369;6305574;PRE000000460;PRE000000460;0.00;1;
13369;6305574;PRE000000460;PRE000000460;0.00;7;
13369;6305574;PRE000000461;PRE000000461;0.00;1;
13369;6305574;PRE000000461;PRE000000461;0.00;7;
13369;6305574;PRE000000462;PRE000000462;0.00;1;
13369;6305574;PRE000000462;PRE000000462;0.00;7;
13369;6305574;PRE000000463;PRE000000463;0.00;1;
13369;6305574;PRE000000463;PRE000000463;0.00;7;
13369;6305574;PRE000000464;PRE000000464;0.00;1;
13369;6305574;PRE000000464;PRE000000464;0.00;7;
13369;6305574;PRE000000465;PRE000000465;0.00;1;
13369;6305574;PRE000000465;PRE000000465;0.00;7;
13369;6305574;PRE000000466;PRE000000466;0.00;1;
13369;6305574;PRE000000466;PRE000000466;0.00;7;
13369;6305574;PRE000000467;PRE000000467;0.00;1;
13369;6305574;PRE000000467;PRE000000467;0.00;7;
13369;6305574;PRE000000468;PRE000000468;0.00;1;
13369;6305574;PRE000000468;PRE000000468;0.00;7;
13369;6305574;PRE000000469;PRE000000469;0.00;1;
13369;6305574;PRE000000469;PRE000000469;0.00;7;
13369;6305574;0509001;0509001;0.00;1;
13369;6305574;0509001;0509001;0.00;7;
13369;6305574;0509202;0509202;0.00;1;
13369;6305574;0509202;0509202;0.00;7;
13369;6305574;0509203;0509203;0.00;1;
13369;6305574;0509203;0509203;0.00;7;
13369;6305574;0509204;0509204;0.00;1;
13369;6305574;0509204;0509204;0.00;7;
13369;6305574;0509205;0509205;0.00;1;
